low_load,low_supply,high_load,high_supply,emergency,failure,a1,a2,a3,a4,ll1,ll2,ll3,pl1,pl2,pl3
0,1,0,1,0,0,1,1,1,1,0,0,1,0,1,0
1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1
1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1
0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1
1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1
1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1
1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,1
1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1
0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1
1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1
1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1
1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1
1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1
1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1
1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1
1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1
1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1
1,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0
0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1
1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,0
1,1,0,1,0,0,1,1,1,1,0,1,1,0,0,1
0,1,0,1,0,0,1,1,1,1,0,0,1,0,1,0
1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1
1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,1
0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1
1,1,1,1,0,0,0,1,1,1,0,1,1,0,1,1
0,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1
1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1
1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1
1,1,0,0,0,0,1,0,0,1,0,1,1,0,1,0
0,1,0,1,0,0,1,1,1,1,0,1,0,0,1,0
1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1
1,1,1,0,0,1,1,0,0,1,0,1,1,0,1,1
1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1
1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1
0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0
1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1
0,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1
1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1
1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,0
1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1
1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1
1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1
0,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1
1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1
1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1
0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0
1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1
0,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1
1,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1
1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1
1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1
1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1
0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,1
1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1
1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1
0,1,0,1,0,0,1,1,1,1,0,0,1,0,0,1
1,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0
1,1,0,1,0,0,0,1,1,1,0,0,1,0,1,1
1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,1
1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,0
1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,0
0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1
0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0
1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1
1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1
1,1,0,1,0,0,1,1,1,1,0,1,1,0,0,1
1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1
1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1
1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1
1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1
1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1
1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1
1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1
1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1
0,1,0,1,0,0,1,1,1,1,0,1,1,0,0,1
1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1
1,1,0,1,0,0,1,1,1,1,0,1,1,0,0,1
1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1
1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1
1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1
1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1
1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1
0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0
1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1
1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1
1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1
1,1,0,1,0,0,1,1,1,1,0,1,1,0,0,1
1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1
0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1
1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1
0,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1
1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1
1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,0
1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1
1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1
1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1
1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1
1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,1
1,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1
